Dataset,Overlaps,Run,Method
Disesome,223,10,CPM
karate,2,10,CPM
lesmisreable,4,10,CPM
netscience,118,10,CPM
yeast,92,10,CPM
dolphin,3,1,A-CLA
C.elegans,6,1,A-CLA
Disesome,11,1,A-CLA
karate,2,1,A-CLA
lesmisreable,2,1,A-CLA
netscience,12,1,A-CLA
yeast,117,1,A-CLA
dolphin,3,2,A-CLA
C.elegans,6,2,A-CLA
Disesome,11,2,A-CLA
karate,2,2,A-CLA
lesmisreable,2,2,A-CLA
netscience,12,2,A-CLA
yeast,117,2,A-CLA
dolphin,3,3,A-CLA
C.elegans,6,3,A-CLA
Disesome,11,3,A-CLA
karate,2,3,A-CLA
lesmisreable,2,3,A-CLA
netscience,12,3,A-CLA
yeast,117,3,A-CLA
dolphin,3,4,A-CLA
C.elegans,6,4,A-CLA
Disesome,11,4,A-CLA
karate,2,4,A-CLA
lesmisreable,2,4,A-CLA
netscience,12,4,A-CLA
yeast,117,4,A-CLA
dolphin,3,5,A-CLA
C.elegans,6,5,A-CLA
Disesome,11,5,A-CLA
karate,2,5,A-CLA
lesmisreable,2,5,A-CLA
netscience,12,5,A-CLA
yeast,117,5,A-CLA
dolphin,3,6,A-CLA
C.elegans,6,6,A-CLA
Disesome,11,6,A-CLA
karate,2,6,A-CLA
lesmisreable,2,6,A-CLA
netscience,12,6,A-CLA
yeast,117,6,A-CLA
dolphin,3,7,A-CLA
C.elegans,6,7,A-CLA
Disesome,11,7,A-CLA
karate,2,7,A-CLA
lesmisreable,2,7,A-CLA
netscience,12,7,A-CLA
yeast,117,7,A-CLA
dolphin,3,8,A-CLA
C.elegans,6,8,A-CLA
Disesome,11,8,A-CLA
karate,2,8,A-CLA
lesmisreable,2,8,A-CLA
netscience,12,8,A-CLA
yeast,117,8,A-CLA
dolphin,3,9,A-CLA
C.elegans,6,9,A-CLA
Disesome,11,9,A-CLA
karate,2,9,A-CLA
lesmisreable,2,9,A-CLA
netscience,12,9,A-CLA
yeast,117,9,A-CLA
dolphin,3,10,A-CLA
C.elegans,6,10,A-CLA
Disesome,11,10,A-CLA
karate,2,10,A-CLA
lesmisreable,2,10,A-CLA
netscience,12,10,A-CLA
yeast,117,10,A-CLA
dolphin,3,1,Leiden
C.elegans,5,1,Leiden
Disesome,25,1,Leiden
karate,4,1,Leiden
lesmisreable,5,1,Leiden
netscience,3,1,Leiden
yeast,22,1,Leiden
dolphin,3,2,Leiden
C.elegans,5,2,Leiden
Disesome,22,2,Leiden
karate,4,2,Leiden
lesmisreable,6,2,Leiden
netscience,3,2,Leiden
yeast,19,2,Leiden
dolphin,3,3,Leiden
C.elegans,5,3,Leiden
Disesome,24,3,Leiden
karate,3,3,Leiden
lesmisreable,6,3,Leiden
netscience,3,3,Leiden
yeast,22,3,Leiden
dolphin,6,4,Leiden
C.elegans,5,4,Leiden
Disesome,27,4,Leiden
karate,4,4,Leiden
lesmisreable,5,4,Leiden
netscience,3,4,Leiden
yeast,23,4,Leiden
dolphin,2,5,Leiden
C.elegans,5,5,Leiden
Disesome,24,5,Leiden
karate,3,5,Leiden
lesmisreable,6,5,Leiden
netscience,3,5,Leiden
yeast,21,5,Leiden
dolphin,3,6,Leiden
C.elegans,6,6,Leiden
Disesome,27,6,Leiden
karate,3,6,Leiden
lesmisreable,5,6,Leiden
netscience,3,6,Leiden
yeast,21,6,Leiden
dolphin,3,7,Leiden
C.elegans,5,7,Leiden
Disesome,26,7,Leiden
karate,4,7,Leiden
lesmisreable,5,7,Leiden
netscience,3,7,Leiden
yeast,25,7,Leiden
dolphin,3,8,Leiden
C.elegans,5,8,Leiden
Disesome,24,8,Leiden
karate,4,8,Leiden
lesmisreable,6,8,Leiden
netscience,3,8,Leiden
yeast,23,8,Leiden
dolphin,3,9,Leiden
C.elegans,6,9,Leiden
Disesome,27,9,Leiden
karate,3,9,Leiden
lesmisreable,6,9,Leiden
netscience,3,9,Leiden
yeast,23,9,Leiden
dolphin,3,10,Leiden
C.elegans,6,10,Leiden
Disesome,24,10,Leiden
karate,4,10,Leiden
lesmisreable,5,10,Leiden
netscience,3,10,Leiden
yeast,22,10,Leiden
dolphin,5,1,Louvain
C.elegans,5,1,Louvain
Disesome,28,1,Louvain
karate,3,1,Louvain
lesmisreable,5,1,Louvain
netscience,23,1,Louvain
yeast,22,1,Louvain
dolphin,5,2,Louvain
C.elegans,6,2,Louvain
Disesome,29,2,Louvain
karate,3,2,Louvain
lesmisreable,6,2,Louvain
netscience,23,2,Louvain
yeast,24,2,Louvain
dolphin,5,3,Louvain
C.elegans,5,3,Louvain
Disesome,30,3,Louvain
karate,3,3,Louvain
lesmisreable,5,3,Louvain
netscience,25,3,Louvain
yeast,22,3,Louvain
dolphin,5,4,Louvain
C.elegans,5,4,Louvain
Disesome,30,4,Louvain
karate,3,4,Louvain
lesmisreable,5,4,Louvain
netscience,25,4,Louvain
yeast,26,4,Louvain
dolphin,5,5,Louvain
C.elegans,6,5,Louvain
Disesome,29,5,Louvain
karate,3,5,Louvain
lesmisreable,5,5,Louvain
netscience,23,5,Louvain
yeast,23,5,Louvain
dolphin,5,6,Louvain
C.elegans,5,6,Louvain
Disesome,27,6,Louvain
karate,3,6,Louvain
lesmisreable,6,6,Louvain
netscience,23,6,Louvain
yeast,25,6,Louvain
dolphin,5,7,Louvain
C.elegans,5,7,Louvain
Disesome,27,7,Louvain
karate,3,7,Louvain
lesmisreable,6,7,Louvain
netscience,23,7,Louvain
yeast,26,7,Louvain
dolphin,5,8,Louvain
C.elegans,5,8,Louvain
Disesome,31,8,Louvain
karate,3,8,Louvain
lesmisreable,6,8,Louvain
netscience,24,8,Louvain
yeast,23,8,Louvain
dolphin,5,9,Louvain
