Dataset,group1,group2,meandiff,p-adj,lower,upper,reject
karate,DEMON,SLPA,-0.1,0.9993,-0.7712,0.5712,False
karate,GN,Leiden,0.6,0.1095,-0.0712,1.2712,False
karate,GN,Louvain,0.0,1.0,-0.6712,0.6712,False
karate,GN,SLPA,-1.1,0.0001,-1.7712,-0.4288,True
karate,Leiden,Louvain,-0.6,0.1095,-1.2712,0.0712,False
karate,Leiden,SLPA,-1.7,0.0,-2.3712,-1.0288,True
karate,Louvain,SLPA,-1.1,0.0001,-1.7712,-0.4288,True
lesmisreable,A-CLA,CPM,2.0,0.0,1.5301,2.4699,True
lesmisreable,A-CLA,DEMON,1.0,0.0,0.5301,1.4699,True
lesmisreable,A-CLA,GN,2.0,0.0,1.5301,2.4699,True
lesmisreable,A-CLA,Leiden,3.5,0.0,3.0301,3.9699,True
lesmisreable,A-CLA,Louvain,3.5,0.0,3.0301,3.9699,True
lesmisreable,A-CLA,SLPA,0.5,0.0298,0.0301,0.9699,True
lesmisreable,CPM,DEMON,-1.0,0.0,-1.4699,-0.5301,True
lesmisreable,CPM,GN,0.0,1.0,-0.4699,0.4699,False
lesmisreable,CPM,Leiden,1.5,0.0,1.0301,1.9699,True
lesmisreable,CPM,Louvain,1.5,0.0,1.0301,1.9699,True
lesmisreable,CPM,SLPA,-1.5,0.0,-1.9699,-1.0301,True
lesmisreable,DEMON,GN,1.0,0.0,0.5301,1.4699,True
lesmisreable,DEMON,Leiden,2.5,0.0,2.0301,2.9699,True
lesmisreable,DEMON,Louvain,2.5,0.0,2.0301,2.9699,True
lesmisreable,DEMON,SLPA,-0.5,0.0298,-0.9699,-0.0301,True
lesmisreable,GN,Leiden,1.5,0.0,1.0301,1.9699,True
lesmisreable,GN,Louvain,1.5,0.0,1.0301,1.9699,True
lesmisreable,GN,SLPA,-1.5,0.0,-1.9699,-1.0301,True
lesmisreable,Leiden,Louvain,0.0,1.0,-0.4699,0.4699,False
lesmisreable,Leiden,SLPA,-3.0,0.0,-3.4699,-2.5301,True
lesmisreable,Louvain,SLPA,-3.0,0.0,-3.4699,-2.5301,True
netscience,A-CLA,CPM,106.0,0.0,104.0247,107.9753,True
netscience,A-CLA,DEMON,28.4,0.0,26.4247,30.3753,True
netscience,A-CLA,GN,7.0,0.0,5.0247,8.9753,True
netscience,A-CLA,Leiden,-9.0,0.0,-10.9753,-7.0247,True
netscience,A-CLA,Louvain,11.5,0.0,9.5247,13.4753,True
netscience,A-CLA,SLPA,21.2,0.0,19.2247,23.1753,True
netscience,CPM,DEMON,-77.6,0.0,-79.5753,-75.6247,True
netscience,CPM,GN,-99.0,0.0,-100.9753,-97.0247,True
netscience,CPM,Leiden,-115.0,0.0,-116.9753,-113.0247,True
netscience,CPM,Louvain,-94.5,0.0,-96.4753,-92.5247,True
netscience,CPM,SLPA,-84.8,0.0,-86.7753,-82.8247,True
netscience,DEMON,GN,-21.4,0.0,-23.3753,-19.4247,True
netscience,DEMON,Leiden,-37.4,0.0,-39.3753,-35.4247,True
netscience,DEMON,Louvain,-16.9,0.0,-18.8753,-14.9247,True
netscience,DEMON,SLPA,-7.2,0.0,-9.1753,-5.2247,True
netscience,GN,Leiden,-16.0,0.0,-17.9753,-14.0247,True
netscience,GN,Louvain,4.5,0.0,2.5247,6.4753,True
netscience,GN,SLPA,14.2,0.0,12.2247,16.1753,True
netscience,Leiden,Louvain,20.5,0.0,18.5247,22.4753,True
netscience,Leiden,SLPA,30.2,0.0,28.2247,32.1753,True
netscience,Louvain,SLPA,9.7,0.0,7.7247,11.6753,True
yeast,A-CLA,CPM,-25.0,0.0,-30.8739,-19.1261,True
yeast,A-CLA,DEMON,-71.2,0.0,-77.0739,-65.3261,True
yeast,A-CLA,GN,-111.0,0.0,-116.8739,-105.1261,True
yeast,A-CLA,Leiden,-94.9,0.0,-100.7739,-89.0261,True
yeast,A-CLA,Louvain,-92.8,0.0,-98.6739,-86.9261,True
yeast,A-CLA,SLPA,-26.8,0.0,-32.6739,-20.9261,True
yeast,CPM,DEMON,-46.2,0.0,-52.0739,-40.3261,True
yeast,CPM,GN,-86.0,0.0,-91.8739,-80.1261,True
yeast,CPM,Leiden,-69.9,0.0,-75.7739,-64.0261,True
yeast,CPM,Louvain,-67.8,0.0,-73.6739,-61.9261,True
yeast,CPM,SLPA,-1.8,0.9656,-7.6739,4.0739,False
yeast,DEMON,GN,-39.8,0.0,-45.6739,-33.9261,True
yeast,DEMON,Leiden,-23.7,0.0,-29.5739,-17.8261,True
yeast,DEMON,Louvain,-21.6,0.0,-27.4739,-15.7261,True
yeast,DEMON,SLPA,44.4,0.0,38.5261,50.2739,True
yeast,GN,Leiden,16.1,0.0,10.2261,21.9739,True
yeast,GN,Louvain,18.2,0.0,12.3261,24.0739,True
yeast,GN,SLPA,84.2,0.0,78.3261,90.0739,True
yeast,Leiden,Louvain,2.1,0.9291,-3.7739,7.9739,False
yeast,Leiden,SLPA,68.1,0.0,62.2261,73.9739,True
yeast,Louvain,SLPA,66.0,0.0,60.1261,71.8739,True
