Dataset,Comparison,n_runs,A-CLA_mean,SLPA_mean,A-CLA_std,SLPA_std,t_stat,p_value,Leiden_mean,Leiden_std
Disesome,A-CLA vs SLPA,10,11,41.2,0,5.922,-16.127,6.00E-08,,
Disesome,A-CLA vs Leiden,10,11,,0,,-26.047,8.74E-10,25,1.7
